method,cn2,distance,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_achieved_occlusion
A0_DAF,1e-14,500.0,0.4,320,0.996875,1.0,0.996875,0.003125,0.789958728892931,0.40015850683703674
A0_DAF,1e-14,750.0,0.0,160,1.0,1.0,1.0,0.0,0.7566561228618605,0.0
A0_DAF,1e-14,750.0,0.1,160,1.0,1.0,1.0,0.0,0.7420732816076449,0.10012850377622706
A0_DAF,1e-14,750.0,0.2,160,1.0,1.0,1.0,0.0,0.7060786146272383,0.20015471572276855
A0_DAF,1e-14,750.0,0.3,160,1.0,1.0,1.0,0.0,0.6955644464975612,0.3001158252631658
A0_DAF,1e-14,750.0,0.4,160,1.0,1.0,1.0,0.0,0.7093079312329141,0.400122248599435
A0_DAF,1e-14,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.7886029574145147,0.0
A0_DAF,1e-14,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.7141260517343759,0.10009792374261943
A0_DAF,1e-14,1000.0,0.2,320,0.984375,1.0,0.984375,0.015625,0.6363835931017878,0.2001077164649884
A0_DAF,1e-14,1000.0,0.3,320,0.98125,1.0,0.98125,0.01875,0.6238564722851525,0.300085459040561
A0_DAF,1e-14,1000.0,0.4,320,0.9875,1.0,0.9875,0.0125,0.6539505614021465,0.40008920855674235
A0_DAF,2.5e-14,250.0,0.0,160,1.0,1.0,1.0,0.0,0.8578036159894806,0.0
A0_DAF,2.5e-14,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8136141147433371,0.10016476621602013
A0_DAF,2.5e-14,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7639748909763312,0.20022016082173666
A0_DAF,2.5e-14,250.0,0.3,160,1.0,1.0,1.0,0.0,0.7571043072871688,0.3002132203628675
A0_DAF,2.5e-14,250.0,0.4,160,1.0,1.0,1.0,0.0,0.7818747416736709,0.40016847600319216
A0_DAF,2.5e-14,500.0,0.0,320,1.0,1.0,1.0,0.0,0.7742314552391869,0.0
A0_DAF,2.5e-14,500.0,0.1,320,1.0,1.0,1.0,0.0,0.7552181196075347,0.10014012081902668
A0_DAF,2.5e-14,500.0,0.2,320,1.0,1.0,1.0,0.0,0.7422908810152494,0.2001609092059236
