method,scope,target_snr_db,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence
ULS,snr_occlusion,10.0,0.2,1344,0.8504464285714286,0.8913690476190477,0.8608630952380952,0.2857142857142857,0.581067958911419
ULS,snr_occlusion,10.0,0.3,1344,0.8377976190476191,0.8898809523809523,0.8489583333333334,0.29092261904761907,0.5196070657130253
ULS,snr_occlusion,10.0,0.4,1344,0.828125,0.8950892857142857,0.8415178571428571,0.2931547619047619,0.4914487827969073
ULS,snr_occlusion,5.0,0.0,1344,0.8645833333333334,0.8950892857142857,0.8720238095238095,0.27232142857142855,0.7002473477225235
ULS,snr_occlusion,5.0,0.1,1344,0.8616071428571429,0.8980654761904762,0.8690476190476191,0.27529761904761907,0.6557694586638091
ULS,snr_occlusion,5.0,0.2,1344,0.8526785714285714,0.8913690476190477,0.8616071428571429,0.2849702380952381,0.5775411336278965
ULS,snr_occlusion,5.0,0.3,1344,0.8400297619047619,0.8913690476190477,0.8511904761904762,0.2849702380952381,0.5192853967654792
ULS,snr_occlusion,5.0,0.4,1344,0.828125,0.8980654761904762,0.8400297619047619,0.29017857142857145,0.4923593816606234
ULS,snr_occlusion,0.0,0.0,1344,0.8653273809523809,0.8943452380952381,0.875,0.27306547619047616,0.6634218036942349
ULS,snr_occlusion,0.0,0.1,1344,0.8534226190476191,0.8936011904761905,0.8601190476190477,0.29538690476190477,0.6266596831810392
ULS,snr_occlusion,0.0,0.2,1344,0.8504464285714286,0.8921130952380952,0.8601190476190477,0.28125,0.5599253269266826
ULS,snr_occlusion,0.0,0.3,1344,0.8422619047619048,0.890625,0.8534226190476191,0.27901785714285715,0.5118293514083018
ULS,snr_occlusion,0.0,0.4,1344,0.8214285714285714,0.8950892857142857,0.8340773809523809,0.3020833333333333,0.48867848653104484
MC-VWLS,overall,,,33600,0.8474107142857142,0.8938988095238095,0.8570833333333333,0.28330357142857143,0.5822546245318101
MC-VWLS,snr,20.0,,6720,0.8483630952380953,0.8938988095238095,0.8577380952380952,0.28125,0.5898615486842289
MC-VWLS,snr,15.0,,6720,0.8482142857142857,0.8940476190476191,0.8577380952380952,0.28125,0.5896512009684968
MC-VWLS,snr,10.0,,6720,0.8480654761904762,0.89375,0.8578869047619048,0.2818452380952381,0.5881282764371976
MC-VWLS,snr,5.0,,6720,0.8479166666666667,0.8944940476190476,0.8577380952380952,0.28288690476190476,0.5820779291414205
MC-VWLS,snr,0.0,,6720,0.8444940476190477,0.8933035714285714,0.8543154761904762,0.2892857142857143,0.5615541674277067
MC-VWLS,occlusion,,0.0,6720,0.8651785714285715,0.8941964285714286,0.8727678571428571,0.272172619047619,0.7029118355918513
MC-VWLS,occlusion,,0.1,6720,0.8563988095238095,0.8936011904761905,0.8647321428571428,0.2863095238095238,0.6470655082784087
MC-VWLS,occlusion,,0.2,6720,0.8517857142857143,0.8912202380952381,0.8616071428571429,0.2800595238095238,0.5694410717067488
MC-VWLS,occlusion,,0.3,6720,0.841220238095238,0.8953869047619047,0.8522321428571429,0.27782738095238096,0.5124352516937555
MC-VWLS,occlusion,,0.4,6720,0.8224702380952381,0.8950892857142857,0.8340773809523809,0.3001488095238095,0.4794194553882862
MC-VWLS,snr_occlusion,20.0,0.0,1344,0.8653273809523809,0.8936011904761905,0.8727678571428571,0.27157738095238093,0.7196039258900514
MC-VWLS,snr_occlusion,20.0,0.1,1344,0.8571428571428571,0.8936011904761905,0.8660714285714286,0.2819940476190476,0.6590638338482434
