category,relative_path,description,required,exists,is_file,status,size_bytes,size_display,csv_data_rows,modified_time,sha256
additional,results/validation/mc_vwls_full_test_report.txt,Additional generated experiment output,0,1,1,PASS,4835,4.722 KiB,,2026-08-04T18:20:46,3445b279054f5c2e1d85200e21761da86cfc127dd8abe3c46d771ec1f5ae4f6d
additional,results/validation/mc_vwls_subset_report.txt,Additional generated experiment output,0,1,1,PASS,1094,1.068 KiB,,2026-08-04T18:14:45,e5c275d0fde4cc16e68968189c5159d1312468284c059266727a67cca6bec51e
additional,results/validation/mc_vwls_tuned_full_test_report.txt,Additional generated experiment output,0,1,1,PASS,5415,5.288 KiB,,2026-08-04T19:27:17,07975e373e0cd3341f6cde342c55c54061b8329bcf15235973382cc218ca1080
additional,results/validation/mc_vwls_validation_tuning_report.txt,Additional generated experiment output,0,1,1,PASS,2528,2.469 KiB,,2026-08-04T19:17:54,23033109d47ba93ec460fef2bb97fe406c116882d2090e9cf4b8c5f143e32eee
additional,results/validation/occlusion_qc_report.txt,Additional generated experiment output,0,1,1,PASS,1713,1.673 KiB,,2026-08-04T17:06:31,7e4dc7e92683654ad90edee030a1d499cfb0d6e451f0f57935aec404bf4b4892
additional,results/validation/occlusion_v2_audit.txt,Additional generated experiment output,0,1,1,PASS,4715,4.604 KiB,,2026-08-04T17:04:25,cda985d2c0ebbda814f42c48229b2651cd549bebde5d4a9a6a458e7bb974f8ca
additional,results/validation/paper_output_validation_report.txt,Additional generated experiment output,0,1,1,PASS,1802,1.760 KiB,,2026-08-04T19:52:07,77805d62c6665d5602c206e2f1f74b802fde91664460a6c04d092106ecfdddae
additional,results/validation/paper_tables_report.txt,Additional generated experiment output,0,1,1,PASS,1036,1.012 KiB,,2026-08-04T19:50:16,e2e0a5e2dc91f11ae852e5e17c38c6c3351189e58e939cf8138322a0fce74061
additional,results/validation/polar_sampling_check.txt,Additional generated experiment output,0,1,1,PASS,927,927.000 B,,2026-08-04T17:51:07,cd78ad1a1531575006a3dfcb59f6873e1df7eebfb3e078510346ddecddc06620
additional,results/validation/receiver_noise_check.txt,Additional generated experiment output,0,1,1,PASS,3170,3.096 KiB,,2026-08-04T17:26:36,af72637ed866e247ccce09b0e662fb6dc7de37001531b83805a6bb5cd292d32c
additional,results/validation/receiver_noise_qc_report.txt,Additional generated experiment output,0,1,1,PASS,1089,1.063 KiB,,2026-08-04T17:34:11,e5d6b153db7c5d2d42bacd1cd9b6a92dfa4aaffe7e773cb5bea8b2e11e8990d2
additional,results/validation/traditional_methods_full_test_report.txt,Additional generated experiment output,0,1,1,PASS,1873,1.829 KiB,,2026-08-04T18:44:40,5aebe2ffe34a7e052456d0e3d3fa19cc76a61db0d8328b3bbdafbdce498d37b1
condition,results/csv/mc_vwls_cn2_distance_accuracy.csv,Cn2-distance condition accuracy,0,0,0,MISSING_OPTIONAL,0,0.000 B,,,
confusion,results/csv/mc_vwls_confusion_matrix_counts.csv,Confusion-matrix counts,1,1,1,PASS,2938,2.869 KiB,32,2026-08-04T20:01:30,12fb2eee2acc1a1aac20e7c84cd9e09a4073027d6543e93e493b1a3669b4f5de
confusion,results/csv/mc_vwls_confusion_matrix_normalized.csv,Normalized confusion matrix,1,1,1,PASS,11951,11.671 KiB,32,2026-08-04T20:01:30,c90b9ebf3906a32853212e8479444b211b4c729ecdf09682c2bb85f2f9fe0fb4
