method,scope,target_snr_db,target_occlusion,true_order,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_visibility,mean_valid_fraction
A0_DAF,snr_occlusion,0.0,0.2,,1344,0.8482142857142857,0.8921130952380952,0.8578869047619048,0.2864583333333333,0.6488131903976407,0.9621825392332597,1.0
A0_DAF,snr_occlusion,0.0,0.3,,1344,0.8318452380952381,0.890625,0.8452380952380952,0.28794642857142855,0.6424210556762369,0.9453885082431923,1.0
A0_DAF,snr_occlusion,0.0,0.4,,1344,0.8162202380952381,0.8928571428571429,0.8296130952380952,0.31398809523809523,0.6726956711014086,0.9275638954648019,1.0
A0_DAF,order,,,1,8400,0.8552380952380952,0.9630952380952381,0.8552380952380952,0.21904761904761905,0.7581156765342082,0.9813632022435937,1.0
A0_DAF,order,,,2,8400,0.8552380952380952,0.9004761904761904,0.8673809523809524,0.2330952380952381,0.6719787170653758,0.9695599356794723,1.0
A0_DAF,order,,,3,8400,0.8488095238095238,0.8622619047619048,0.8552380952380952,0.36797619047619046,0.6440314923826124,0.9566349785480512,1.0
A0_DAF,order,,,4,8400,0.8233333333333334,0.8423809523809523,0.8457142857142858,0.32416666666666666,0.6566759858337444,0.943259578800709,1.0
A1_MASK_ULS,overall,,,,33600,0.8485714285714285,0.8934821428571429,0.8583035714285714,0.2830357142857143,0.588666151078176,0.9627044238179566,1.0
A1_MASK_ULS,snr,20.0,,,6720,0.8488095238095238,0.8925595238095239,0.8586309523809523,0.28214285714285714,0.5950006317507788,0.9627044238179566,1.0
A1_MASK_ULS,snr,15.0,,,6720,0.8497023809523809,0.8933035714285714,0.8592261904761904,0.28125,0.5950572317278986,0.9627044238179566,1.0
A1_MASK_ULS,snr,10.0,,,6720,0.8483630952380953,0.8936011904761905,0.8583333333333333,0.28407738095238094,0.5941294178758755,0.9627044238179566,1.0
A1_MASK_ULS,snr,5.0,,,6720,0.8494047619047619,0.8947916666666667,0.8587797619047619,0.28154761904761905,0.5890405436880664,0.9627044238179566,1.0
A1_MASK_ULS,snr,0.0,,,6720,0.846577380952381,0.893154761904762,0.856547619047619,0.28616071428571427,0.5701029303482607,0.9627044238179566,1.0
A1_MASK_ULS,occlusion,,0.0,,6720,0.8651785714285715,0.8941964285714286,0.8727678571428571,0.272172619047619,0.7029118355918516,0.9999999999999999,1.0
A1_MASK_ULS,occlusion,,0.1,,6720,0.8589285714285714,0.8961309523809524,0.8668154761904762,0.28020833333333334,0.6568021685340809,0.9783871761485289,1.0
A1_MASK_ULS,occlusion,,0.2,,6720,0.8508928571428571,0.8912202380952381,0.8605654761904762,0.28482142857142856,0.5763166996388972,0.9621825392332599,1.0
A1_MASK_ULS,occlusion,,0.3,,6720,0.8394345238095238,0.8900297619047619,0.8505952380952381,0.28526785714285713,0.5170903801406548,0.9453885082431923,1.0
A1_MASK_ULS,occlusion,,0.4,,6720,0.828422619047619,0.8958333333333334,0.8407738095238095,0.29270833333333335,0.4902096714853956,0.927563895464802,1.0
A1_MASK_ULS,snr_occlusion,20.0,0.0,,1344,0.8653273809523809,0.8936011904761905,0.8727678571428571,0.27157738095238093,0.7196039258900517,0.9999999999999998,1.0
A1_MASK_ULS,snr_occlusion,20.0,0.1,,1344,0.8586309523809523,0.8950892857142857,0.8675595238095238,0.27529761904761907,0.6685079800622533,0.9783871761485288,1.0
A1_MASK_ULS,snr_occlusion,20.0,0.2,,1344,0.8497023809523809,0.8898809523809523,0.859375,0.28720238095238093,0.581257951604171,0.9621825392332597,1.0
A1_MASK_ULS,snr_occlusion,20.0,0.3,,1344,0.8385416666666666,0.8891369047619048,0.8497023809523809,0.2864583333333333,0.5170496422822696,0.9453885082431923,1.0
A1_MASK_ULS,snr_occlusion,20.0,0.4,,1344,0.8318452380952381,0.8950892857142857,0.84375,0.29017857142857145,0.4885836589151483,0.9275638954648019,1.0
A1_MASK_ULS,snr_occlusion,15.0,0.0,,1344,0.8653273809523809,0.8936011904761905,0.8720238095238095,0.27232142857142855,0.7180673962540438,0.9999999999999998,1.0
A1_MASK_ULS,snr_occlusion,15.0,0.1,,1344,0.8608630952380952,0.8965773809523809,0.8690476190476191,0.2760416666666667,0.6677691432036807,0.9783871761485288,1.0
A1_MASK_ULS,snr_occlusion,15.0,0.2,,1344,0.8511904761904762,0.8913690476190477,0.8608630952380952,0.2849702380952381,0.5817911271243165,0.9621825392332597,1.0
A1_MASK_ULS,snr_occlusion,15.0,0.3,,1344,0.8385416666666666,0.8891369047619048,0.8497023809523809,0.2849702380952381,0.5176804445341974,0.9453885082431923,1.0
A1_MASK_ULS,snr_occlusion,15.0,0.4,,1344,0.8325892857142857,0.8958333333333334,0.8444940476190477,0.28794642857142855,0.48997804752325425,0.9275638954648019,1.0
A1_MASK_ULS,snr_occlusion,10.0,0.0,,1344,0.8653273809523809,0.8943452380952381,0.8720238095238095,0.27157738095238093,0.713218704398404,0.9999999999999998,1.0
A1_MASK_ULS,snr_occlusion,10.0,0.1,,1344,0.8601190476190477,0.8973214285714286,0.8683035714285714,0.27901785714285715,0.6653045775596222,0.9783871761485288,1.0
A1_MASK_ULS,snr_occlusion,10.0,0.2,,1344,0.8504464285714286,0.8913690476190477,0.8608630952380952,0.2857142857142857,0.581067958911419,0.9621825392332597,1.0
A1_MASK_ULS,snr_occlusion,10.0,0.3,,1344,0.8377976190476191,0.8898809523809523,0.8489583333333334,0.29092261904761907,0.5196070657130253,0.9453885082431923,1.0
A1_MASK_ULS,snr_occlusion,10.0,0.4,,1344,0.828125,0.8950892857142857,0.8415178571428571,0.2931547619047619,0.4914487827969073,0.9275638954648019,1.0
A1_MASK_ULS,snr_occlusion,5.0,0.0,,1344,0.8645833333333334,0.8950892857142857,0.8720238095238095,0.27232142857142855,0.7002473477225235,0.9999999999999998,1.0
A1_MASK_ULS,snr_occlusion,5.0,0.1,,1344,0.8616071428571429,0.8980654761904762,0.8690476190476191,0.27529761904761907,0.6557694586638091,0.9783871761485288,1.0
